10,40 Mile Air,Q5,MLA,MILE-AIR,United States,Y
22,Aloha Airlines,AQ,AAH,ALOHA,United States,Y
24,American Airlines,AA,AAL,AMERICAN,United States,Y
35,Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
109,Alaska Central Express,KO,AER,ACE AIR,United States,Y
149,Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
281,America West Airlines,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
397,Arrow Air,JW,APW,BIG A,United States,Y
439,Alaska Airlines,AS,ASA,ALASKA,United States,Y
452,Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
659,American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States,Y
792,Access Air,ZA,CYD,CYCLONE,United States,Y
882,Air Florida,QH,FLZ,AIR FLORIDA,United States,Y
928,Atlas Air,5Y,GTI,GIANT,United States,Y
1316,AirTran Airways,FL,TRS,CITRUS,United States,Y
1442,Bemidji Airlines,CH,BMJ,BEMIDJI,United States,Y
1472,Bering Air,8E,BRG,BERING AIR,United States,Y
1629,Cape Air,9K,KAP,CAIR,United States,Y
1739,Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States,Y
1821,Colgan Air,9L,CJC,COLGAN,United States,Y
1828,Comair,OH,COM,COMAIR,United States,Y
1843,CommutAir,C5,UCA,COMMUTAIR,United States,Y
1860,Compass Airlines,CP,CPZ,Compass Rose,United States,Y
1881,Continental Airlines,CO,COA,CONTINENTAL,United States,Y
1884,Continental Micronesia,CS,CMI,AIR MIKE,United States,Y
2009,Delta Air Lines,DL,DAL,DELTA,United States,Y
2261,Evergreen International Airlines,EZ,EIA,EVERGREEN,United States,Y
2293,Express One International,EO,LHN,LONGHORN,United States,Y
2295,ExpressJet,XE,BTA,JET LINK,United States,Y
2404,Florida West International Airways,RF,FWL,FLO WEST,United States,Y
2454,Freedom Air,FP,FRE,FREEDOM,United States,Y
2468,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States,Y
2470,Frontier Flying Service,2F,FTA,FRONTIER-AIR,United States,Y
2577,GoJet Airlines,G7,GJS,GATEWAY,United States,Y
2607,Great Lakes Airlines,ZK,GLA,LAKES AIR,United States,Y
2657,Hageland Aviation Services,H6,HAG,HAGELAND,United States,Y
2688,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States,Y
2778,Horizon Air,QX,QXE,HORIZON AIR,United States,Y
2855,Indigo,I9,IBU,INDIGO BLUE,United States,Y
3029,JetBlue Airways,B6,JBU,JETBLUE,United States,Y
3090,KLM Royal Dutch Airlines,KL,KLM,KLM,Netherlands,Y
3123,Kenmore Air,M5,KEN,KENMORE,United States,Y
3466,Mesa Airlines,YV,ASH,AIR SHUTTLE,United States,Y
3467,Mesaba Airlines,XJ,MES,MESABA,United States,Y
3494,Midway Airlines,JI,MDW,MIDWAY,United States,Y
3641,NetJets,1I,EJA,EXECJET,United States,Y
3644,New England Airlines,EJ,NEA,NEW ENGLAND,United States,Y
3731,Northwest Airlines,NW,NWA,NORTHWEST,United States,Y
3781,Omni Air International,OY,OAE,OMNI-EXPRESS,United States,Y
3865,Pacific Wings,LW,NMI,TSUNAMI,United States,Y
3935,Peninsula Airways,KS,PEN,PENINSULA,United States,Y
3969,Piedmont Airlines (1948-1989),PI,PDT,PIEDMONT,United States,Y
3976,Pinnacle Airlines,9E,FLG,FLAGSHIP,United States,Y
4026,Potomac Air,BK,PDC,DISTRICT,United States,Y
4187,Republic Airlines,RW,RPA,BRICKYARD,United States,Y
4295,Ryan International Airlines,RD,RYN,RYAN INTERNATIONAL,United States,Y
4335,Seaborne Airlines,BB,SBS,SEABORNE,United States,Y
4356,Sun Country Airlines,SY,SCX,SUN COUNTRY,United States,Y
4411,Skagway Air Service,N5,SGY,SKAGWAY AIR,United States,Y
4435,Singapore Airlines,SQ,SIA,SINGAPORE,Singapore,Y
4547,Southwest Airlines,WN,SWA,SOUTHWEST,United States,Y
4589,Skywalk Airlines,AL,SYX,SKYWAY-EX,United States,Y
4687,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States,Y
4738,SkyWest,OO,SKW,SKYWEST,United States,Y
4822,Shuttle America,S5,TCF,MERCURY,United States,Y
5160,Trans States Airlines,AX,LOF,WATERSKI,United States,Y
5207,USA3000 Airlines,U5,GWY,GETAWAY,United States,Y
5209,United Airlines,UA,UAL,UNITED,United States,Y
5265,US Airways,US,USA,U S AIR,United States,Y
5331,Virgin America,VX,VRD,REDWOOD,United States,Y
5424,Western Airlines,WA,WAL,WESTERN,United States,Y
5465,World Airways,WO,WOA,WORLD,United States,Y
9833,Epic Holiday,FA,4AA,EPIC,United States,Y
10123,Texas Wings,TQ,TXW,TXW,United States,Y
10226,Atifly,A1,A1F,ATIFLY,United States,Y
10748,Locair,ZQ,LOC,LOCAIR,United States,Y
10765,SeaPort Airlines,K5,SQH,SASQUATCH,United States,Y
15975,Black Stallion Airways,BZ,BSA,STALLION,United States,Y
16702,Usa Sky Cargo,E1,ES2,USKY,United States,Y
16726,Era Alaska,7H,ERR,ERAH,United States,Y
17841,Aws express,B0,666,AWS,United States,Y
18178,Vision Airlines (V2),V2,RBY,RUBY,United States,Y
18241,Royal Airways,KG,RAW,RAW,United States,Y
18529,T.J. Air,TJ,TJA,T.J. AIR,United States,Y
18930,Maryland Air,M1,M1F,MARYLAND FLIGHT,United States,Y
19016,Apache Air,ZM,IWA,APACHE,United States,Y
19290,Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States,Y
19433,XAIR USA,XA,XAU,XAIR,United States,Y
19674,Rainbow Air (RAI),RN,RAB,RAINBOW,United States,Y
19676,Rainbow Air Polynesia,RX,RPO,RAINBOW AIR,United States,Y
19678,Rainbow Air US,RM,RNY,RAINBOW AIR,United States,Y
19774,Spike Airlines,S0,SAL,SPIKE AIR,United States,Y
